"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","132.15","132.50","132.75","129.80","15.44K","-0.26%"
"Dec 27, 2019","132.50","127.85","132.80","127.65","23.56K","4.08%"
"Dec 26, 2019","127.30","129.40","129.85","126.65","8.89K","-1.62%"
"Dec 24, 2019","129.40","126.05","130.65","125.35","15.73K","3.27%"
"Dec 23, 2019","125.30","130.40","131.50","124.90","23.91K","-4.13%"
"Dec 20, 2019","130.70","126.90","131.05","126.30","19.03K","2.75%"
"Dec 19, 2019","127.20","133.35","133.35","126.20","30.47K","-4.24%"
"Dec 18, 2019","132.83","134.08","135.44","130.25","-","0.48%"
"Dec 17, 2019","132.20","132.90","132.90","131.90","0.02K","-2.65%"
"Dec 16, 2019","135.80","135.85","135.85","135.85","0.00K","4.91%"
"Dec 13, 2019","129.45","138.20","138.40","134.55","0.06K","-4.75%"
"Dec 12, 2019","135.90","135.20","137.00","134.85","0.01K","1.53%"
"Dec 11, 2019","133.85","134.45","134.45","134.45","0.04K","1.36%"
"Dec 10, 2019","132.05","129.60","130.85","129.60","0.04K","3.73%"
"Dec 09, 2019","127.30","128.25","128.25","128.25","0.00K","2.91%"
"Dec 06, 2019","123.70","125.10","126.15","123.00","0.03K","-0.20%"
"Dec 05, 2019","123.95","121.45","124.40","121.45","0.08K","2.78%"
"Dec 04, 2019","120.60","123.20","123.35","120.95","0.03K","-1.83%"
"Dec 03, 2019","122.85","121.75","123.50","121.75","0.01K","1.11%"
"Dec 02, 2019","121.50","118.00","122.00","118.00","0.04K","2.49%"
"Nov 29, 2019","118.55","117.95","118.00","117.95","0.06K","0.91%"
"Nov 27, 2019","117.48","116.93","118.90","115.83","-","1.54%"
"Nov 26, 2019","115.70","117.75","117.75","115.00","0.02K","-1.78%"
"Nov 25, 2019","117.80","114.45","117.80","114.45","0.03K","2.79%"
"Nov 22, 2019","114.60","114.20","114.50","113.90","0.06K","-0.56%"
"Nov 21, 2019","115.25","109.30","115.75","108.10","0.09K","5.06%"
"Nov 20, 2019","109.70","105.90","109.80","105.45","0.54K","6.82%"
"Nov 19, 2019","102.70","105.30","106.60","102.50","19.43K","-2.70%"
"Nov 18, 2019","105.55","105.55","107.20","105.15","18.91K","-0.57%"
"Nov 15, 2019","106.15","107.60","107.90","105.60","10.12K","-1.76%"
"Nov 14, 2019","108.05","108.10","109.55","106.60","14.84K","0.09%"
"Nov 13, 2019","107.95","105.65","108.20","105.55","25.67K","2.23%"
"Nov 12, 2019","105.60","106.15","107.45","104.80","30.61K","-0.38%"
"Nov 11, 2019","106.00","108.30","108.90","105.50","41.35K","-3.15%"
"Nov 08, 2019","109.45","108.75","109.90","108.30","38.48K","0.32%"
"Nov 07, 2019","109.10","107.85","109.60","106.85","54.06K","1.02%"
"Nov 06, 2019","108.00","105.80","108.20","105.05","52.73K","2.08%"
"Nov 05, 2019","105.80","103.55","106.05","102.80","42.92K","2.07%"
"Nov 04, 2019","103.65","104.00","104.75","102.65","41.53K","-0.34%"
"Nov 01, 2019","104.00","102.15","104.30","101.10","31.18K","2.01%"
"Oct 31, 2019","101.95","99.40","102.25","99.40","30.20K","2.62%"
"Oct 30, 2019","99.35","98.70","100.35","97.05","26.93K","0.40%"
"Oct 29, 2019","98.95","100.50","101.80","98.70","30.09K","-1.54%"
"Oct 28, 2019","100.50","99.15","100.80","98.20","26.59K","1.06%"
"Oct 25, 2019","99.45","95.65","99.85","95.65","31.37K","3.11%"
"Oct 24, 2019","96.45","97.75","98.45","96.00","20.09K","-1.33%"
"Oct 23, 2019","97.75","98.80","98.90","97.40","18.75K","-1.16%"
"Oct 22, 2019","98.90","95.55","99.10","95.55","25.21K","2.65%"
"Oct 21, 2019","96.35","96.05","97.00","94.50","22.19K","0.68%"
"Oct 18, 2019","95.70","92.65","96.20","92.55","24.92K","3.01%"
"Oct 17, 2019","92.90","93.45","94.70","92.35","19.94K","-0.69%"
"Oct 16, 2019","93.55","94.05","94.40","92.25","22.37K","-0.95%"
"Oct 15, 2019","94.45","94.90","95.40","93.95","23.10K","-0.42%"
"Oct 14, 2019","94.85","93.50","95.60","93.40","20.42K","1.23%"
"Oct 11, 2019","93.70","94.25","94.35","92.20","30.55K","0.21%"
"Oct 10, 2019","93.50","95.60","96.10","93.05","31.31K","-2.04%"
"Oct 09, 2019","95.45","95.65","96.60","95.05","18.93K","-0.26%"
"Oct 08, 2019","95.70","97.10","97.80","95.50","24.75K","-1.34%"
"Oct 07, 2019","97.00","98.90","99.15","96.60","30.60K","-2.02%"
"Oct 04, 2019","99.00","102.05","102.50","98.50","23.56K","-2.99%"
"Oct 03, 2019","102.05","100.50","102.90","99.15","21.31K","1.44%"
"Oct 02, 2019","100.60","101.00","101.70","100.15","13.66K","-0.74%"
"Oct 01, 2019","101.35","101.05","101.60","99.65","16.90K","0.20%"
"Sep 30, 2019","101.15","100.50","102.45","99.30","21.75K","0.25%"
