,Closing Price,LR Predicted,Ridge Predicted,Decision Tree Predicted,Lasso Predicted,ElasticNet Predicted
2008,,162.6321839674124,162.63207043340375,160.65,163.64270443233082,163.64109079559842
2009,,142.13496371163006,142.13491195608577,143.3,141.9835616908297,141.98312457461762
2010,,140.04686930678088,140.04682229303003,140.76,140.06910551829148,140.0681432474292
2011,,135.70807187256224,135.70804171823843,135.68,135.17929383763695,135.18022067652402
2012,,124.3060556189891,124.30605637419217,123.99,123.8453104649062,123.84546583801392
2013,,113.36414943922227,113.3641792230745,113.25,113.41377689711506,113.4129829279471
2014,,152.94018027465512,152.94009444554982,153.85,153.5163097505476,153.51459800555628
2015,,129.09098832217438,129.09097550862649,129.87,128.821355009149,128.82160371349084
2016,,96.54868703569824,96.54876529923354,96.4,96.71921662211143,96.7185825735528
2017,,201.9634095899877,201.96318928069613,202.0,201.0917055681434,201.09240990482874
2018,,281.8491332347382,281.8486649332656,281.7,285.0549117028415,285.04772886816187
2019,,134.31542316892615,134.31539539962256,134.95,133.98399866035686,133.9842412539443
2020,,98.36694387751172,98.36701851192343,97.75,97.9804498480441,97.98042888741544
2021,,235.38892253969806,235.38861261946795,235.9,234.57421137702005,234.57766790133834
2022,,119.29120255438514,119.29121695739164,118.63,118.97783133345192,118.97769074141011
2023,,63.517627716596074,63.517798523019934,63.9,64.18463169184757,64.18315369211702
2024,,89.90909424397093,89.90918924230797,90.25,90.56863306554555,90.56705948835253
2025,,77.58914410093624,77.58927715425094,77.65,77.67746141901127,77.6770287330528
2026,,114.7383650627548,114.73839665432175,115.75,114.28501748550464,114.28670761055459
2027,,104.57890672829902,104.57896437945024,104.3,104.34325535161503,104.34362194809312
2028,,181.27733373303903,181.27716918731755,181.75,181.1674243171878,181.1666951486908
2029,,174.21117288705807,174.21102704636002,173.45,174.52380298709053,174.52245775973861
2030,,151.62221357952842,151.6221392870293,145.7,151.20544833826455,151.20704081945462
2031,,126.80662960123395,126.80662327300239,127.15,126.53030383779576,126.53052544265674
2032,,163.3844633572171,163.38435057297764,165.4,163.36584562016847,163.36535888644988
2033,,140.92717870484756,140.9271391428862,140.69,140.35800662207757,140.361404476545
2034,,87.64218586252674,87.64228892760299,88.7,87.60422117547294,87.60323461762917
2035,,145.55451551799013,145.554454549923,147.35,145.82437959011585,145.8242732122504
2036,,92.44840367393256,92.4484954611137,95.35,93.02159460172813,93.0218228637604
2037,,106.16716113726268,106.16720659596095,107.7,107.40606824917151,107.4032638863886
2038,,113.26808321725261,113.26811335284442,112.35,113.49721041503662,113.49648061570264
2039,,142.06261975481289,142.06256355597583,141.7,142.97311184135708,142.97077276010606
2040,,172.79063549709628,172.79050168990804,171.65,171.55047273964897,171.5524291422424
2041,,119.35953579206192,119.35955086252366,119.3,119.04915748697934,119.04940329901169
2042,,112.47697065261774,112.47700481484358,112.45,112.19854662260309,112.19851923659795
2043,,115.47192279747362,115.47195018096541,114.6,115.25698956893888,115.25777756641156
